"country","country_name","iso_name","lat_center","long_center","year","gdp_pps","unemployment","sucide_rate_total","sucide_rate_female","sucide_rate_male","sucide_rate_total_growth"
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2011,100,9.7,12.39,5.22,20.73,NA
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2012,100,10.6,12.38,5.22,20.69,-0.1
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2013,100,11.2,12.25,5.3,20.28,-1.1
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2014,100,10.7,11.81,5.15,19.52,-3.6
"European Union - 27 countries (from 2020)","European Union","EU",NA,NA,2015,100,9.9,11.39,5.03,18.75,-3.6
"Belgium","Belgium","BEL",50.503887,4.469936,2011,119,6.9,19.27,10.87,28.71,NA
"Belgium","Belgium","BEL",50.503887,4.469936,2012,121,7.4,18.78,9.76,28.96,-2.5
"Belgium","Belgium","BEL",50.503887,4.469936,2013,121,8.3,17.3,9.48,26.09,-7.9
"Belgium","Belgium","BEL",50.503887,4.469936,2014,121,8.4,17.29,9.88,25.7,-0.1
"Belgium","Belgium","BEL",50.503887,4.469936,2015,121,8.4,16.85,9.68,24.69,-2.5
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2011,46,11.1,10.4,4,17.98,NA
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2012,47,12.1,12.11,5.1,20.86,16.4
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2013,46,12.8,9.78,3.75,17.1,-19.2
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2014,47,11.4,9.91,4.24,16.94,1.3
"Bulgaria","Bulgaria","BGR",42.733883,25.48583,2015,48,9.1,9.34,4.02,15.74,-5.8
"Czechia","Czechia","CZE",49.817492,15.472962,2011,84,6.5,15.2,4.75,27.03,NA
"Czechia","Czechia","CZE",49.817492,15.472962,2012,84,6.8,15.97,5.18,28.64,5.1
"Czechia","Czechia","CZE",49.817492,15.472962,2013,86,6.8,15.18,5.28,26.84,-4.9
"Czechia","Czechia","CZE",49.817492,15.472962,2014,88,6,14.36,5.46,24.61,-5.4
"Czechia","Czechia","CZE",49.817492,15.472962,2015,89,5,13.25,4.76,23.12,-7.7
"Denmark","Denmark","DNK",56.26392,9.501785,2011,129,7,11.11,5.63,17.01,NA
"Denmark","Denmark","DNK",56.26392,9.501785,2012,129,7.2,12.22,5.9,19.05,10
"Denmark","Denmark","DNK",56.26392,9.501785,2013,130,6.9,11.28,5.73,17.59,-7.7
"Denmark","Denmark","DNK",56.26392,9.501785,2014,129,6.5,11.91,5.89,18.37,5.6
"Denmark","Denmark","DNK",56.26392,9.501785,2015,128,6,10.21,6.11,14.62,-14.3
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2011,124,5.8,12.14,5.61,20.06,NA
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2012,124,5.4,11.77,5.82,18.96,-3
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2013,125,5.2,11.9,5.85,19.18,1.1
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2014,127,5,11.94,5.74,19.33,0.3
"Germany (until 1990 former territory of the FRG)","Germany","DEU",51.165691,10.451526,2015,125,4.6,11.68,5.93,18.62,-2.2
"Estonia","Estonia","EST",58.595272,25.013607,2011,72,12.2,16.31,5.44,30.82,NA
"Estonia","Estonia","EST",58.595272,25.013607,2012,75,10,18.4,6.16,34.33,12.8
"Estonia","Estonia","EST",58.595272,25.013607,2013,77,8.6,16.96,6.1,32.28,-7.8
"Estonia","Estonia","EST",58.595272,25.013607,2014,79,7.3,18.31,6.5,33.64,8
"Estonia","Estonia","EST",58.595272,25.013607,2015,77,6.1,15.89,5.08,29.85,-13.2
"Ireland","Ireland","IRL",53.41291,-8.24389,2011,131,14.9,12.09,3.96,20.43,NA
"Ireland","Ireland","IRL",53.41291,-8.24389,2012,133,14.9,12.12,4.08,20.44,0.2
"Ireland","Ireland","IRL",53.41291,-8.24389,2013,133,13.3,11.07,4.28,17.99,-8.7
"Ireland","Ireland","IRL",53.41291,-8.24389,2014,138,11.5,10.79,3.82,17.95,-2.5
"Ireland","Ireland","IRL",53.41291,-8.24389,2015,181,9.6,9.49,3.93,15.21,-12
"Greece","Greece","GRC",39.074208,21.824312,2011,75,17.8,4.21,1.43,7.25,NA
"Greece","Greece","GRC",39.074208,21.824312,2012,71,24.3,4.43,1.56,7.58,5.2
"Greece","Greece","GRC",39.074208,21.824312,2013,72,27.3,4.77,1.87,7.95,7.7
"Greece","Greece","GRC",39.074208,21.824312,2014,72,26.4,4.99,1.92,8.42,4.6
"Greece","Greece","GRC",39.074208,21.824312,2015,70,24.9,4.69,1.84,7.87,-6
"Spain","Spain","ESP",40.463667,-3.74922,2011,93,20.9,6.74,3.06,11,NA
"Spain","Spain","ESP",40.463667,-3.74922,2012,91,24.3,7.43,3.3,12.28,10.2
"Spain","Spain","ESP",40.463667,-3.74922,2013,90,25.6,8.14,3.94,12.93,9.6
"Spain","Spain","ESP",40.463667,-3.74922,2014,91,24.1,8.17,3.94,13.07,0.4
"Spain","Spain","ESP",40.463667,-3.74922,2015,91,21.7,7.51,3.73,11.93,-8.1
"France","France","FRA",46.227638,2.213749,2011,109,8.7,16.83,7.98,27.51,NA
"France","France","FRA",46.227638,2.213749,2012,108,9.3,15.71,7.36,25.79,-6.7
"France","France","FRA",46.227638,2.213749,2013,110,9.8,15.48,7.25,25.33,-1.5
"France","France","FRA",46.227638,2.213749,2014,108,9.8,14.09,6.66,22.97,-9
"France","France","FRA",46.227638,2.213749,2015,107,9.9,14.12,6.27,23.42,0.2
"Croatia","Croatia","HRV",45.1,15.2,2011,60,13.2,16.57,7.86,28,NA
"Croatia","Croatia","HRV",45.1,15.2,2012,61,15.5,18.23,7.66,31.58,10
"Croatia","Croatia","HRV",45.1,15.2,2013,61,16.6,16.18,6.34,28.25,-11.2
"Croatia","Croatia","HRV",45.1,15.2,2014,60,16.5,16.84,8.02,28.25,4.1
"Croatia","Croatia","HRV",45.1,15.2,2015,60,15.5,17.32,8.31,29.01,2.9
"Italy","Italy","ITA",41.87194,12.56738,2011,105,8.1,6.51,2.6,11.15,NA
"Italy","Italy","ITA",41.87194,12.56738,2012,103,10.3,6.68,2.79,11.2,2.6
"Italy","Italy","ITA",41.87194,12.56738,2013,100,11.9,6.64,2.87,11.02,-0.6
"Italy","Italy","ITA",41.87194,12.56738,2014,98,12.5,6.32,2.74,10.54,-4.8
"Italy","Italy","ITA",41.87194,12.56738,2015,97,11.7,6.07,2.57,10.16,-4
"Cyprus","Cyprus","CYP",35.126413,33.429859,2011,97,7.8,3.97,1.22,7.07,NA
"Cyprus","Cyprus","CYP",35.126413,33.429859,2012,91,11.8,3.82,0.38,7.54,-3.8
"Cyprus","Cyprus","CYP",35.126413,33.429859,2013,84,15.8,5.19,1.13,9.59,35.9
"Cyprus","Cyprus","CYP",35.126413,33.429859,2014,81,16,4.5,2.42,6.81,-13.3
"Cyprus","Cyprus","CYP",35.126413,33.429859,2015,83,14.9,4.45,2.03,7.05,-1.1
"Latvia","Latvia","LVA",56.879635,24.603189,2011,58,16.1,21.23,6.24,41.83,NA
"Latvia","Latvia","LVA",56.879635,24.603189,2012,61,14.9,21.82,6.4,41.56,2.8
"Latvia","Latvia","LVA",56.879635,24.603189,2013,63,11.9,19.05,5.47,36.99,-12.7
"Latvia","Latvia","LVA",56.879635,24.603189,2014,64,10.9,18.96,6.15,35.45,-0.5
"Latvia","Latvia","LVA",56.879635,24.603189,2015,65,9.9,19.34,7,35.5,2
"Lithuania","Lithuania","LTU",55.169438,23.881275,2011,67,15.4,33.38,11.66,60.97,NA
"Lithuania","Lithuania","LTU",55.169438,23.881275,2012,71,13.5,30.69,10.06,56.59,-8.1
"Lithuania","Lithuania","LTU",55.169438,23.881275,2013,74,11.9,36.12,11.7,66.31,17.7
"Lithuania","Lithuania","LTU",55.169438,23.881275,2014,76,10.8,31.51,9.38,59.02,-12.8
"Lithuania","Lithuania","LTU",55.169438,23.881275,2015,75,9.2,30.28,10.09,56.25,-3.9
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2011,267,4.8,11.48,7.62,15.42,NA
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2012,263,5,10.69,4.69,17.08,-6.9
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2013,264,5.7,9.29,6.53,12.17,-13.1
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2014,272,5.6,13.36,6.22,21.62,43.8
"Luxembourg","Luxembourg","LUX",49.815273,6.129583,2015,272,6.3,13.91,8.43,20.69,4.1
"Hungary","Hungary","HUN",47.162494,19.503304,2011,67,11,24.61,10.66,42.18,NA
"Hungary","Hungary","HUN",47.162494,19.503304,2012,67,10.9,24.14,10.22,42.22,-1.9
"Hungary","Hungary","HUN",47.162494,19.503304,2013,68,10,21.24,9.28,36.71,-12
"Hungary","Hungary","HUN",47.162494,19.503304,2014,69,7.6,19.42,8.25,33.93,-8.6
"Hungary","Hungary","HUN",47.162494,19.503304,2015,70,6.7,19.03,8.78,32.58,-2
"Netherlands","Netherlands","NLD",52.132633,5.291266,2011,135,4.4,10.01,6.14,14.22,NA
"Netherlands","Netherlands","NLD",52.132633,5.291266,2012,136,5.2,10.67,6.83,14.92,6.6
"Netherlands","Netherlands","NLD",52.132633,5.291266,2013,137,6.7,11.32,6.52,16.48,6.1
"Netherlands","Netherlands","NLD",52.132633,5.291266,2014,133,6.9,11.12,6.94,15.56,-1.8
"Netherlands","Netherlands","NLD",52.132633,5.291266,2015,132,6.4,11.28,6.93,16.01,1.4
"Austria","Austria","AUT",47.516231,14.550072,2011,129,4.3,15.54,7.16,26.13,NA
"Austria","Austria","AUT",47.516231,14.550072,2012,133,4.7,15.2,6.51,25.84,-2.2
"Austria","Austria","AUT",47.516231,14.550072,2013,133,5.1,15.35,7.19,25.6,1
"Austria","Austria","AUT",47.516231,14.550072,2014,132,5.5,15.25,7.02,25.29,-0.7
"Austria","Austria","AUT",47.516231,14.550072,2015,131,5.6,14.45,6.27,24.19,-5.2
"Poland","Poland","POL",51.919438,19.145136,2011,66,9.5,16.04,3.89,29.73,NA
"Poland","Poland","POL",51.919438,19.145136,2012,67,10,16.71,4.15,30.76,4.2
"Poland","Poland","POL",51.919438,19.145136,2013,67,10.2,16.35,4.26,30.07,-2.2
"Poland","Poland","POL",51.919438,19.145136,2014,68,8.9,15.51,4.1,28.28,-5.1
"Poland","Poland","POL",51.919438,19.145136,2015,69,7.4,14.23,3.7,26.19,-8.3
"Portugal","Portugal","PRT",39.399872,-8.224454,2011,78,12.8,9.52,3.9,16.73,NA
"Portugal","Portugal","PRT",39.399872,-8.224454,2012,76,15.8,9.98,3.66,18.03,4.8
"Portugal","Portugal","PRT",39.399872,-8.224454,2013,78,16.5,9.78,4.1,16.94,-2
"Portugal","Portugal","PRT",39.399872,-8.224454,2014,78,14.1,11.28,5.1,19.23,15.3
"Portugal","Portugal","PRT",39.399872,-8.224454,2015,78,12.5,10.38,5.53,16.75,-8
"Romania","Romania","ROU",45.943161,24.96676,2011,52,7.2,13,3.89,23.07,NA
"Romania","Romania","ROU",45.943161,24.96676,2012,54,6.7,12.67,3.42,22.98,-2.5
"Romania","Romania","ROU",45.943161,24.96676,2013,55,7.1,12.24,3.6,21.78,-3.4
"Romania","Romania","ROU",45.943161,24.96676,2014,56,6.7,11.33,3.16,20.49,-7.4
"Romania","Romania","ROU",45.943161,24.96676,2015,57,6.7,11.43,3.32,20.55,0.9
"Slovenia","Slovenia","SVN",46.151241,14.995463,2011,84,8.2,21.71,8.16,39.25,NA
"Slovenia","Slovenia","SVN",46.151241,14.995463,2012,83,8.9,21.53,7.48,39.57,-0.8
"Slovenia","Slovenia","SVN",46.151241,14.995463,2013,83,10.2,21.7,8.25,37.14,0.8
"Slovenia","Slovenia","SVN",46.151241,14.995463,2014,83,9.8,18.87,5.88,33.44,-13
"Slovenia","Slovenia","SVN",46.151241,14.995463,2015,83,9,20.72,8.36,36.15,9.8
"Slovakia","Slovakia","SVK",48.669026,19.699024,2011,76,13.2,10.6,2.43,20.48,NA
"Slovakia","Slovakia","SVK",48.669026,19.699024,2012,77,13.6,11.12,2.65,21.08,4.9
"Slovakia","Slovakia","SVK",48.669026,19.699024,2013,78,13.9,12.07,3.12,22.94,8.5
"Slovakia","Slovakia","SVK",48.669026,19.699024,2014,78,12.9,10.74,2.97,20.34,-11
"Slovakia","Slovakia","SVK",48.669026,19.699024,2015,78,11.3,9.19,2.98,16.66,-14.4
"Finland","Finland","FIN",61.92411,25.748151,2011,119,7.1,16.91,7.32,27.63,NA
"Finland","Finland","FIN",61.92411,25.748151,2012,117,7,16.14,7.79,25.29,-4.6
"Finland","Finland","FIN",61.92411,25.748151,2013,115,7.5,16.36,8.09,25.41,1.4
"Finland","Finland","FIN",61.92411,25.748151,2014,113,8,14.55,7.01,22.79,-11.1
"Finland","Finland","FIN",61.92411,25.748151,2015,111,8.8,13.46,6.2,21.26,-7.5
"Sweden","Sweden","SWE",60.128161,18.643501,2011,130,6.9,11.99,6.88,17.3,NA
"Sweden","Sweden","SWE",60.128161,18.643501,2012,130,7.1,12.39,7.16,18.07,3.3
"Sweden","Sweden","SWE",60.128161,18.643501,2013,129,7.1,13.03,7.69,18.64,5.2
"Sweden","Sweden","SWE",60.128161,18.643501,2014,127,7.1,12.13,7.62,17.04,-6.9
"Sweden","Sweden","SWE",60.128161,18.643501,2015,129,6.7,12.3,6.85,18.09,1.4
"Iceland","Iceland","ISL",64.963051,-19.020835,2011,119,6.4,8.85,3.37,14.29,NA
"Iceland","Iceland","ISL",64.963051,-19.020835,2012,121,5.3,11.61,7.15,16.71,31.2
"Iceland","Iceland","ISL",64.963051,-19.020835,2013,123,4.8,17.1,9.72,24.68,47.3
"Iceland","Iceland","ISL",64.963051,-19.020835,2014,124,4.4,13.98,6.93,21.49,-18.2
"Iceland","Iceland","ISL",64.963051,-19.020835,2015,129,3.5,13.06,7.51,18.23,-6.6
"Norway","Norway","NOR",60.472024,8.468946,2011,180,2.9,12.49,6.85,18.44,NA
"Norway","Norway","NOR",60.472024,8.468946,2012,188,2.8,10.62,6.01,15.38,-15
"Norway","Norway","NOR",60.472024,8.468946,2013,186,3,11.25,7.18,15.45,5.9
"Norway","Norway","NOR",60.472024,8.468946,2014,178,3.3,10.97,5.83,16.3,-2.5
"Norway","Norway","NOR",60.472024,8.468946,2015,158,4,11.71,7.53,15.95,6.7
"Switzerland","Switzerland","CHE",46.818188,8.227512,2011,169,4.3,13.23,6.85,20.76,NA
"Switzerland","Switzerland","CHE",46.818188,8.227512,2012,172,4.4,13.2,6.93,20.55,-0.2
"Switzerland","Switzerland","CHE",46.818188,8.227512,2013,173,4.6,13.35,6.94,21,1.1
"Switzerland","Switzerland","CHE",46.818188,8.227512,2014,173,4.8,12.77,6.61,19.89,-4.3
"Switzerland","Switzerland","CHE",46.818188,8.227512,2015,173,4.7,12.96,6.54,20.34,1.5
"United Kingdom","UK","GBR",55.378051,-3.435973,2011,108,NA,6.71,2.8,10.84,NA
"United Kingdom","UK","GBR",55.378051,-3.435973,2012,110,NA,7.22,2.91,11.8,7.6
"United Kingdom","UK","GBR",55.378051,-3.435973,2013,111,NA,7.36,2.98,11.97,1.9
"United Kingdom","UK","GBR",55.378051,-3.435973,2014,111,NA,7.08,3.17,11.24,-3.8
"United Kingdom","UK","GBR",55.378051,-3.435973,2015,111,NA,7.36,3.41,11.53,4
"Turkey","Turkey","TUR",38.963745,35.243322,2011,57,8.6,1.78,0.83,2.87,NA
"Turkey","Turkey","TUR",38.963745,35.243322,2012,59,8,2.19,1.1,3.4,23
"Turkey","Turkey","TUR",38.963745,35.243322,2013,62,8.6,2.82,1.34,4.49,28.8
"Turkey","Turkey","TUR",38.963745,35.243322,2014,65,9.7,2.4,1.17,3.77,-14.9
"Turkey","Turkey","TUR",38.963745,35.243322,2015,68,10,2.18,1.01,3.48,-9.2
